pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,Conv,C2H4,C2,Coke,Y_C2,Y_C2H4
-0.688,0.525,-0.588235294,0.090909091,-0.75,-0.493333333,11.24860909,52.87396827,84.01131474,5.082107785,9.450104386,5.947586001
-0.228,0.575,0.352941176,-0.636363636,-0.75,-0.493333333,11.5300062,45.82419117,83.23510707,5.225019712,9.597013006,5.283532083
-0.624,0.45,0.352941176,0.090909091,-0.75,0.733333333,12.82914882,50.09735521,75.31932589,9.21023336,9.662828409,6.427064255
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,11.33633607,55.27676651,85.52663533,7.998083133,9.69558681,6.26636002
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,11.1947829,56.18941794,87.01830603,6.080736228,9.741510443,6.290283351
-0.614,0.7125,0.352941176,0.818181818,-0.75,0.733333333,10.68023795,59.02625619,91.88770709,4.512725294,9.813825764,6.304144614
-0.25,0.65,0.823529412,-0.636363636,-0.75,-0.493333333,11.62823896,41.41282088,84.61111468,3.514163896,9.838782602,4.815581772
-0.756,0.65,-0.176470588,0.818181818,-0.75,0.733333333,11.55240257,55.18226032,85.31443846,7.728922379,9.855867381,6.374876859
-0.426,0.6505,-0.117647059,0.090909091,-0.75,-0.493333333,11.05973522,53.17568091,89.52401357,7.498722606,9.901118859,5.88108951
-0.056,0.5,-0.117647059,-0.636363636,-0.75,-0.493333333,12.98519037,45.42357701,76.30009854,8.679292848,9.907713048,5.898337948
-0.454,0.415,0.352941176,-0.818181818,-0.75,0.733333333,12.12223849,56.39530685,81.97020157,3.575064082,9.936623325,6.836373594
-0.756,0.575,-0.588235294,-0.636363636,-0.75,-0.866666667,12.41191735,36.76124557,80.16995349,6.211935929,9.950628367,4.562775417
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,14.78329774,43.86905031,67.81175295,20.80800362,10.02481334,6.485292323
-0.626,0.475,0.352941176,0.090909091,-0.75,0.733333333,13.98441569,47.68486667,71.81002015,11.38103989,10.04221172,6.668449976
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,12.41919575,52.40490602,80.89941746,10.46812929,10.04705701,6.508267861
-0.486,0.6,-0.352941176,-0.272727273,-0.75,-0.493333333,11.62014565,53.02830731,86.484067,6.27034723,10.04957455,6.161966545
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,14.83848431,44.11134046,67.81559107,20.63503198,10.06280584,6.545454333
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,14.9276694,43.8331578,67.42449873,21.29902358,10.06490627,6.543268884
-0.758,0.4495,-0.588235294,-0.636363636,0,-0.866666667,13.2731237,36.39670898,75.87241302,10.45019823,10.07063923,4.830980206
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,12.272156,53.28477431,82.21329098,8.942480412,10.08934332,6.539190628
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,12.33622934,53.1701563,82.06801057,9.221259675,10.124098,6.559192422
-0.778,0.45,-0.588235294,-0.272727273,0.75,-0.866666667,12.3065786,41.16103524,82.37464364,11.437426,10.13750027,5.065515154
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,15.10374171,43.90985882,67.19984938,21.80766974,10.14969168,6.632031661
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,13.71743633,48.3261108,74.17461975,15.01409043,10.17485624,6.62910348
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,13.64258727,48.42306376,74.64379667,14.51156798,10.1833451,6.606158732
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,14.0025161,47.48237408,72.99433845,16.35958064,10.22104399,6.648727075
-0.688,0.55,-0.588235294,0.090909091,-0.75,-0.493333333,11.91093657,54.10347543,86.15273646,3.597846328,10.26159779,6.444230641
-0.624,0.5,0.352941176,0.090909091,-0.75,0.733333333,15.38511911,44.51975982,66.90713126,14.89028538,10.29374184,6.849418076
-0.812,0.65,-0.529411765,0.818181818,-0.75,0.733333333,13.61668146,49.56084613,75.87121071,13.17015591,10.33114108,6.748542546
-0.762,0.4245,-0.588235294,-0.636363636,-0.75,-0.493333333,13.57053558,42.57057843,76.32587017,3.808979524,10.35782937,5.777055492
-0.614,0.725,0.352941176,0.818181818,-0.75,0.733333333,12.06018895,55.19140926,86.25857249,9.788472017,10.40294683,6.656188241
-0.452,0.435,0.352941176,-0.818181818,-0.75,0.733333333,13.8463969,52.22506141,75.74059335,8.080468321,10.48734317,7.231289284
-0.226,0.6,0.352941176,-0.636363636,-0.75,-0.493333333,13.34406529,43.3239213,79.03101523,7.3166916,10.54595027,5.781172344
-0.62,0.525,0.352941176,0.090909091,-0.75,0.733333333,17.02077502,41.40572669,62.14503549,19.07348812,10.57756668,7.047575585
-0.618,0.55,0.352941176,0.090909091,-0.75,0.733333333,18.79003008,37.79698082,56.68771928,24.46664482,10.6516395,7.102064065
-0.59,0.6,0.352941176,0.090909091,-0.75,0.733333333,22.33443221,32.05281039,48.18835894,33.79792148,10.76259636,7.158813208
-0.054,0.525,-0.117647059,-0.636363636,-0.75,-0.493333333,15.03696777,42.61769822,71.60436913,11.65973715,10.76712591,6.408409546
-0.612,0.575,0.352941176,0.090909091,-0.75,0.733333333,20.41517701,35.01418969,52.76129536,28.55636452,10.77131184,7.148208804
-0.424,0.6755,-0.117647059,0.090909091,-0.75,-0.493333333,11.6374413,55.22316932,92.98031401,3.180297898,10.82052946,6.426563914
-0.38,0.465,0.352941176,-0.818181818,-0.75,0.733333333,15.31746674,49.26791179,70.9797653,9.869561177,10.87230194,7.546596002
-0.248,0.675,0.823529412,-0.636363636,-0.75,-0.493333333,13.05797748,40.47573833,83.42497378,3.142700505,10.89361429,5.285312796
-0.758,0.5995,-0.588235294,-0.636363636,-0.75,-0.866666667,14.17179177,35.38578319,77.78569653,8.560025928,11.02362694,5.01479951
-0.484,0.625,-0.352941176,-0.272727273,-0.75,-0.493333333,12.52796478,54.14999413,88.25082255,4.732694373,11.05603197,6.783892193
-0.824,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,16.03968368,39.8040418,69.2245463,12.26868152,11.10339826,6.384442397
-0.758,0.475,-0.588235294,-0.636363636,0,-0.866666667,14.89543213,35.47457246,74.68370102,9.489422895,11.12446,5.284090864
-0.688,0.575,-0.588235294,0.090909091,-0.75,-0.493333333,13.76845238,50.62491798,80.90490878,8.857605463,11.13935384,6.970267724
-0.614,0.7375,0.352941176,0.818181818,-0.75,0.733333333,12.56378248,56.96987326,89.22909334,5.903700038,11.2105492,7.157570956
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,16.82738051,38.34329743,66.91272214,13.82738093,11.25965836,6.452172559
-0.762,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,15.76802875,39.7882607,71.44888907,8.819294811,11.26608137,6.273824386
-0.776,0.4755,-0.588235294,-0.272727273,0.75,-0.866666667,13.40946664,41.55159046,84.03917119,8.487884695,11.26920463,5.571846661
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,17.30057678,37.66837411,65.79029426,14.63299144,11.38210037,6.516845985
-0.822,0.45,-0.588235294,-0.636363636,-0.75,-0.493333333,17.4419497,37.59937169,65.58536823,14.33754765,11.43936694,6.558063498
